# ADD YOUR AI GENERATED VIDEO & MEDIA LINKS HERE
# FORMAT: Title | YouTube Video URL or Social Media Link | Description | Thumbnail Image URL (optional)

Siluvai Sumantha Uruvam Worship Video | https://www.youtube.com/watch?v=3a0nRIi3nRE | Generative AI visual storytelling for Christian worship song. | https://img.youtube.com/vi/3a0nRIi3nRE/hqdefault.jpg
News Shorts with AI Visuals 1 | https://youtube.com/shorts/fZVAv9gGYIs?si=U0qyTCp7Dqwv4qGO | Edited a news-style ministry short with AI-generated visuals, motion graphics, color grading, and audio enhancement. | https://img.youtube.com/vi/fZVAv9gGYIs/hqdefault.jpg
News Shorts with AI Visuals 2 | https://youtube.com/shorts/XqGPSehWvsY?si=lLjAoGzCtT1c_EeD | Produced a fast-paced Christian news short featuring AI visuals, dynamic editing, and polished sound design. | https://img.youtube.com/vi/XqGPSehWvsY/hqdefault.jpg
News Shorts with AI Visuals 3 | https://youtube.com/shorts/35lzuO7d2uU?si=KDafX0IRkfSx8Hwm | Created engaging AI-powered visual sequences with professional editing and cinematic color grading. | https://img.youtube.com/vi/35lzuO7d2uU/hqdefault.jpg
News Shorts with AI Visuals 4 | https://youtube.com/shorts/cgt0prk-U4o?si=-pDhOifXOllT7p7D | Edited a short-form ministry update using AI-generated imagery, motion graphics, and audio refinement. | https://img.youtube.com/vi/cgt0prk-U4o/hqdefault.jpg
News Shorts with AI Visuals 5 | https://youtube.com/shorts/fm3BMQjlB0A?si=RD2IQH12-d4HFUzU | Delivered complete post-production with AI visual integration, color correction, and clean audio editing. | https://img.youtube.com/vi/fm3BMQjlB0A/hqdefault.jpg
News Shorts with AI Visuals 6 | https://youtube.com/shorts/iCMHPisIhPE?si=6m825cpIpDNuZ-6f | Crafted a vertical news short using AI visuals, cinematic pacing, and professional video finishing. | https://img.youtube.com/vi/iCMHPisIhPE/hqdefault.jpg
News Shorts with AI Visuals 7 | https://youtube.com/shorts/5L4vf_xgLSg?si=UEtMlD3EkWCh_y70 | Produced an engaging ministry short with AI-assisted visuals, smooth transitions, and color grading. | https://img.youtube.com/vi/5L4vf_xgLSg/hqdefault.jpg
News Shorts with AI Visuals 8 | https://youtube.com/shorts/9-QgEJI5IxI?si=a8K-sz4CxPZW550U | Combined AI-generated imagery with storytelling, motion graphics, and broadcast-style editing. | https://img.youtube.com/vi/9-QgEJI5IxI/hqdefault.jpg
News Shorts with AI Visuals 9 | https://youtube.com/shorts/ztQuwuzdVws?si=68QsH-sq_1G6YOlZ | Edited a compelling news-format short with AI visuals, enhanced audio, and cinematic finishing. | https://img.youtube.com/vi/ztQuwuzdVws/hqdefault.jpg
News Shorts with AI Visuals 10 | https://youtube.com/shorts/Oq6lTOUqbSM?si=k6nOZGox7hIqGbra | Produced an AI-enhanced ministry news short featuring clean edits and impactful visual storytelling. | https://img.youtube.com/vi/Oq6lTOUqbSM/hqdefault.jpg
News Shorts with AI Visuals 11 | https://youtube.com/shorts/SWxApwE7-U4?si=8mEq_I8qwCHLOqk_ | Developed a short-form news video with AI visuals, professional editing, and vibrant color grading. | https://img.youtube.com/vi/SWxApwE7-U4/hqdefault.jpg
News Shorts with AI Visuals 12 | https://youtube.com/shorts/8ib5XmVdKxg?si=vqb0E9S_YEvmbnpN | Created an engaging vertical short using AI-generated scenes, motion design, and polished post-production. | https://img.youtube.com/vi/8ib5XmVdKxg/hqdefault.jpg
News Shorts with AI Visuals 13 | https://youtube.com/shorts/UKsw_KaMMdk?si=coun3E9HUxw8bWBy | Edited a ministry news update with AI visual integration, audio cleanup, and cinematic finishing touches. | https://img.youtube.com/vi/UKsw_KaMMdk/hqdefault.jpg
News Shorts with AI Visuals 14 | https://youtube.com/shorts/IlUk1FJKQw0?si=evYxt_4ELPevVPtB | Produced a visually engaging Christian news short with AI-generated imagery and refined editing. | https://img.youtube.com/vi/IlUk1FJKQw0/hqdefault.jpg
News Shorts with AI Visuals 15 | https://youtube.com/shorts/elovz0fnDsw?si=Vs7hylGSD2NSkj30 | Crafted an AI-assisted ministry short with storytelling-focused editing, grading, and sound enhancement. | https://img.youtube.com/vi/elovz0fnDsw/hqdefault.jpg
News Shorts with AI Visuals 16 | https://youtube.com/shorts/6tg20dLnDTQ?si=prYk2kfZ9CJVYcAb | Delivered complete post-production for a ministry news short with AI visuals and cinematic presentation. | https://img.youtube.com/vi/6tg20dLnDTQ/hqdefault.jpg
AI Visual Storytelling 1 | https://youtube.com/shorts/eKoptUxjfdU?si=_uQfzfF9MotCU6VK | Produced an AI-driven visual storytelling short with cinematic editing, seamless transitions, and immersive visuals. | https://img.youtube.com/vi/eKoptUxjfdU/hqdefault.jpg
AI Visual Storytelling 2 | https://youtube.com/shorts/9-QgEJI5IxI?si=KjiiM_bLsAH4KAAA | Created a narrative-focused AI visual story using dynamic editing, color grading, and creative motion graphics. | https://img.youtube.com/vi/9-QgEJI5IxI/hqdefault.jpg
AI Visual Storytelling 3 | https://youtube.com/shorts/SWxApwE7-U4?si=TBMY-o0RV_qZnyAd | Designed a cinematic AI storytelling experience with polished editing and engaging visual sequences. | https://img.youtube.com/vi/SWxApwE7-U4/hqdefault.jpg
AI Visual Storytelling 4 | https://youtube.com/shorts/SWxApwE7-U4?si=RjFF-BGA7TRIs0co | Crafted a short-form AI visual narrative with professional post-production, sound refinement, and cinematic pacing. | https://img.youtube.com/vi/SWxApwE7-U4/hqdefault.jpg
